RKY,DATE,TIME,RACE,SEX,AGE,RLV,FLV,NPP,F6INONE,PP,COA,AC,SP,OC,FIRE,CUF,NBA,TA,DOG,OINJ,OMED,SINJ,SMED,ObjectId
C2-052287,2022/06/18 00:00:00+00,812,B,M,35,D,G,,,,,,,,,X,,X,,N,,Y,Y,1
C2-051111,2022/06/14 00:00:00+00,1949,,,0,,Z,,,,,,,,X,,,,,,,,,2
C2-050446,2022/06/12 00:00:00+00,2303,W,M,31,D,C,,,,X,,,,,X,,,,Y,N,Y,N,3
C2-050446,2022/06/12 00:00:00+00,2303,W,M,31,D,C,,,,X,,,,,X,,,,Y,N,Y,N,4
C2-049465,2022/06/10 00:00:00+00,141,W,M,26,E,C,,,,X,,,,,X,,,,Y,N,N,N,5
C2-049156,2022/06/09 00:00:00+00,401,,,0,,Z,,,,,,,,X,,,,,N,,,,6
C2-049065,2022/06/09 00:00:00+00,2110,W,F,32,D,D,,,,X,,,,,X,,,,N,,Y,Y,7
C2-048917,2022/06/08 00:00:00+00,1512,B,F,15,D,G,,,,X,,,,,X,,X,,N,,N,Y,8
C2-048646,2022/06/07 00:00:00+00,1748,W,M,34,D,D,,,,X,,,,,X,,,,N,,N,N,9
C2-048441,2022/06/07 00:00:00+00,606,W,M,32,D,G,,,,,,,,,,,X,,Y,N,N,Y,10
C2-048344,2022/06/06 00:00:00+00,2025,W,M,31,E,D,,,,X,,,,,X,,,,N,,Y,Y,11
C2-045319,2022/05/29 00:00:00+00,220,,,0,,Z,,,,,,,,X,,,,,N,,N,,12
C2-043595,2022/05/23 00:00:00+00,2040,W,M,50,E,G,,,,,,,,,X,,X,,N,,N,Y,13
C2-041913,2022/06/09 00:00:00+00,1710,W,M,19,D,C,,,,X,,,,,,,,,Y,N,Y,Y,14
C2-041913,2022/06/09 00:00:00+00,1710,W,M,19,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,15
C2-041255,2022/05/17 00:00:00+00,335,A,M,19,E,C,,,,X,,,,,X,,,,N,N,Y,N,16
C2-041221,2022/05/16 00:00:00+00,2343,,,0,,Z,,,,,,,,X,,,,,N,,,,17
C2-040891,2022/05/16 00:00:00+00,306,B,M,38,D,C,,,,X,,,,,X,,,,Y,N,Y,N,18
C2-039983,2022/05/13 00:00:00+00,1418,W,F,33,E,D,,,,X,,,,,X,,,,Y,N,Y,Y,19
C2-039752,2022/05/12 00:00:00+00,1959,W,M,38,D,C,,,,X,,,,,X,,,,N,N,Y,Y,20
C2-039670,2022/05/12 00:00:00+00,1746,B,M,25,D,G,,,,,,,,,X,,X,,N,,Y,Y,21
C2-039008,2022/05/10 00:00:00+00,1831,W,M,40,D,D,,,,X,,,,,X,,,,N,,Y,N,22
C2-038313,2022/05/08 00:00:00+00,2102,W,M,16,E,D,,,,X,,,,,X,,,,Y,N,Y,Y,23
C2-038098,2022/05/08 00:00:00+00,157,B,F,27,E,D,,,,,,,X,,,,,,N,N,N,N,24
C2-037853,2022/05/07 00:00:00+00,1211,W,M,32,D,C,,,,X,,,,,X,,,,N,,Y,N,25
C2-037763,2022/05/07 00:00:00+00,138,H,M,24,E,C,,,,X,,,,,X,,,,Y,N,Y,,26
C2-037763,2022/05/07 00:00:00+00,138,H,M,24,D,D,,,,X,,,,,X,,,,Y,N,Y,,27
C2-037379,2022/05/06 00:00:00+00,200,B,M,20,E,D,,,,,,,X,,X,,,,N,,Y,N,28
C2-037379,2022/05/06 00:00:00+00,200,W,M,21,E,D,,,,,,,X,,X,,,,N,,Y,N,29
C2-037346,2022/05/05 00:00:00+00,2337,A,M,26,D,G,,,,,,,,,X,,X,,N,,Y,Y,30
C2-036641,2022/05/03 00:00:00+00,1633,A,M,35,E,D,,,,X,,,,,X,,,,N,,Y,N,31
C2-036641,2022/05/03 00:00:00+00,1633,A,M,35,D,D,,,,X,,,,,X,,,,N,,Y,N,32
C2-035753,2022/04/30 00:00:00+00,2136,W,M,38,E,D,,,,X,,,,,X,,,,Y,N,Y,N,33
C2-035542,2022/04/30 00:00:00+00,414,W,F,34,E,C,,,,X,,,,,,,,,Y,N,N,Y,34
C2-033214,2022/04/23 00:00:00+00,1124,B,M,34,E,D,,,,X,,,,,X,,,,Y,N,Y,Y,35
C2-033214,2022/04/23 00:00:00+00,1124,B,M,34,E,G,,,,X,,,,,X,,X,,Y,N,Y,Y,36
C2-032645,2022/04/21 00:00:00+00,2029,B,M,19,E,G,,,,,,,,,X,,X,,N,,N,Y,37
C2-031239,2022/04/17 00:00:00+00,915,W,M,37,E,C,,,,X,,,,,X,,,,Y,N,N,N,38
C2-030448,2022/04/14 00:00:00+00,1853,W,M,28,E,C,,,,X,,,,,X,,,,N,,Y,Y,39
C2-030448,2022/04/14 00:00:00+00,1853,W,M,28,E,C,,,,X,,,,,X,,,,N,,Y,Y,40
C2-029892,2022/04/12 00:00:00+00,2228,H,M,28,D,D,,,,X,,,,,X,,,,N,,Y,Y,41
C2-029480,2022/04/11 00:00:00+00,1959,B,F,9,E,C,,,,X,,,,,X,,,,N,,Y,N,42
C2-028963,2022/04/10 00:00:00+00,207,B,M,20,E,G,,,,X,,,,,X,,X,,N,,N,Y,43
C2-027187,2022/04/04 00:00:00+00,1244,W,M,36,E,C,,,,X,,,,,X,,,,Y,N,Y,N,44
C2-026807,2022/04/03 00:00:00+00,139,H,M,22,D,D,,,,X,,,,,X,,,,N,,Y,Y,45
C2-026378,2022/04/01 00:00:00+00,1825,,,0,,,,,,,,,,,,,X,,,,,,46
C2-026078,2022/03/31 00:00:00+00,2045,H,M,24,D,D,,,,X,,,,,X,,,,N,,N,N,47
C2-026078,2022/03/31 00:00:00+00,2040,H,M,24,,D,,,,X,,,,,X,,,,N,,N,N,48
C2-023207,2022/03/22 00:00:00+00,1045,W,F,46,D,D,,,,X,,,,,X,,,,N,,Y,N,49
C2-022690,2022/03/20 00:00:00+00,2026,W,M,34,E,D,,,,X,,,,,X,,,,Y,N,Y,N,50
C2-022690,2022/03/20 00:00:00+00,2026,W,M,34,E,D,,,,X,,,,,X,,,,Y,N,Y,N,51
C2-022690,2022/03/20 00:00:00+00,2026,W,M,34,E,D,,,,X,,,,,X,,,,Y,N,Y,N,52
C2-078786,2022/09/04 00:00:00+00,133,B,M,25,D,C,,,,X,,,,,X,,,,N,N,Y,Y,53
C2-075493,2022/08/25 00:00:00+00,1804,B,F,44,D,C,,,,X,,,,,X,,,,N,,Y,Y,54
C2-075493,2022/08/25 00:00:00+00,1804,B,F,44,D,C,,,,X,,,,,X,,,,N,,Y,Y,55
C2-075155,2022/08/24 00:00:00+00,1630,W,M,35,D,D,,,,X,,,,,X,,,,N,,Y,N,56
C2-074199,2022/08/21 00:00:00+00,2231,W,F,50,D,C,,,,X,,,,,X,,,,N,,Y,N,57
C2-074109,2022/08/21 00:00:00+00,1540,B,M,34,F,G,,,X,,,,,,,,X,,Y,N,Y,Y,58
C2-074109,2022/08/21 00:00:00+00,1540,B,M,34,F,G,,,,X,,,,,X,,X,,Y,Y,Y,Y,59
C2-074109,2022/08/21 00:00:00+00,1540,B,M,34,F,C,,,,X,,,,,X,,,,Y,Y,Y,Y,60
C2-074109,2022/08/21 00:00:00+00,1540,B,M,34,F,C,,,,X,,,,,X,,,,Y,Y,Y,Y,61
C2-074109,2022/08/21 00:00:00+00,1540,B,M,34,F,G,,,,X,,,,,,,X,,N,,Y,Y,62
C2-073930,2022/08/20 00:00:00+00,2346,H,M,20,E,C,,,,X,,,,,X,,,,Y,N,N,N,63
C2-073601,2022/08/20 00:00:00+00,15,I,F,35,D,D,,,,X,,,,,,,,,N,,Y,N,64
C2-072434,2022/08/16 00:00:00+00,1925,W,M,29,D,D,,,X,X,,,,,X,,,,Y,N,Y,Y,65
C2-072156,2022/08/15 00:00:00+00,2200,B,F,26,D,C,,,,X,,,,,X,,,,Y,N,Y,,66
C2-072156,2022/08/15 00:00:00+00,2200,B,F,26,D,C,,,,X,,,,,X,,,,N,,Y,N,67
C2-071631,2022/08/14 00:00:00+00,335,B,M,30,D,C,,,,X,,,,,X,,,,N,,Y,N,68
C2-071631,2022/08/14 00:00:00+00,335,B,M,30,D,C,,,,X,,,,,,,,,N,,Y,N,69
C2-071631,2022/08/14 00:00:00+00,335,B,M,30,D,C,,,,X,,,,,,,,,N,,N,N,70
C2-071612,2022/08/14 00:00:00+00,200,W,M,44,D,D,,,,X,,,X,,X,,,,N,,Y,Y,71
C2-071612,2022/08/14 00:00:00+00,200,W,M,44,D,C,,,,X,,,,,,,,,N,,Y,Y,72
C2-071612,2022/08/14 00:00:00+00,200,W,M,44,D,G,,,,X,,,,,,,X,,N,,Y,Y,73
C2-071612,2022/08/14 00:00:00+00,200,W,M,44,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,74
C2-071553,2022/08/13 00:00:00+00,2237,I,M,39,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,75
C2-070639,2022/08/11 00:00:00+00,1041,B,M,31,D,C,,,,X,,,,,X,,,,N,,Y,Y,76
C2-070639,2022/08/11 00:00:00+00,1041,B,M,31,D,C,,,,X,,,,,X,,,,N,,Y,Y,77
C2-070574,2022/08/12 00:00:00+00,1705,W,M,36,D,G,,,,,,,,,X,,X,,N,,Y,Y,78
C2-069246,2022/08/07 00:00:00+00,141,B,F,21,E,D,,,,X,,,,,,,,,N,,N,N,79
C2-069023,2022/08/06 00:00:00+00,1107,B,M,32,D,G,,,,X,,,,,,,X,,N,,Y,Y,80
C2-068579,2022/08/05 00:00:00+00,45,H,M,36,D,D,,,,X,,,,,X,,,,Y,N,N,,81
C2-066823,2022/07/30 00:00:00+00,1604,W,M,38,E,D,,,X,X,,,,,X,,,,Y,N,Y,N,82
C2-066823,2022/07/30 00:00:00+00,1604,W,M,38,E,D,,,X,X,,,,,X,,,,Y,N,Y,N,83
C2-066691,2022/07/30 00:00:00+00,443,B,M,32,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,84
C2-066683,2022/07/30 00:00:00+00,318,B,F,23,D,C,,,,X,,,,,X,,,,N,,Y,Y,85
C2-066683,2022/07/30 00:00:00+00,318,B,F,23,D,C,,,,X,,,,,,,,,N,,Y,Y,86
C2-065957,2022/07/28 00:00:00+00,144,W,M,26,D,C,,,,X,,,,,X,,,,N,N,N,N,87
C2-065957,2022/07/28 00:00:00+00,144,W,M,26,D,C,,,,X,,,,,X,,,,Y,N,N,,88
C2-064722,2022/07/24 00:00:00+00,1045,W,M,35,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,89
C2-063337,2022/07/20 00:00:00+00,932,B,M,62,D,C,,,,X,,,,,X,,,,Y,N,Y,N,90
C2-063001,2022/07/31 00:00:00+00,1911,W,M,47,D,G,,,,X,,,,,X,,X,,Y,N,Y,Y,91
C2-063001,2022/07/31 00:00:00+00,1911,W,M,47,D,D,,,,X,,,,,X,,X,,Y,N,Y,Y,92
C2-062979,2022/07/19 00:00:00+00,240,B,M,25,C,C,,,,X,,,,,X,,,,N,,Y,Y,93
C2-062979,2022/07/19 00:00:00+00,240,B,M,25,C,C,,,,X,,,,,X,,,,N,,Y,Y,94
C2-062331,2022/07/17 00:00:00+00,111,W,M,30,C,D,,,,X,,,,,X,,,,N,,Y,N,95
C2-057958,2022/07/04 00:00:00+00,227,H,M,24,E,G,,,,X,,,,,X,,X,,N,,Y,Y,96
C2-057801,2022/07/03 00:00:00+00,1924,W,M,27,E,G,,,,X,,,X,,X,,X,,N,,Y,Y,97
C2-056028,2022/07/12 00:00:00+00,1650,B,F,29,D,D,,,,X,,,,,X,,,,N,,Y,N,98
C2-055039,2022/06/26 00:00:00+00,140,,,0,E,D,,,,,,,X,,,,,,N,,N,N,99
C2-055039,2022/06/26 00:00:00+00,140,,,0,E,D,,,,,,,X,,,,,,N,,N,N,100
C2-054761,2022/06/25 00:00:00+00,1003,,,0,,Z,,,,,,,,X,,,,,N,,,,101
C2-054666,2022/06/24 00:00:00+00,2337,B,M,22,D,C,,,,X,,,,,X,,,,N,N,Y,N,102
C2-054666,2022/06/24 00:00:00+00,2337,B,M,22,D,C,,,,X,,,,,X,,,,N,,Y,N,103
C2-053224,2022/06/21 00:00:00+00,115,W,M,20,D,C,,,,X,,,,,X,,,,N,N,Y,Y,104
C2006156,2022/08/11 00:00:00+00,2108,W,M,22,C,C,,,,X,,,,,X,,,,N,,Y,N,105
C2-114681,2022/12/29 00:00:00+00,2356,B,M,23,D,G,,,,X,,,,,,,X,,N,,N,,106
C2-113735,2022/12/26 00:00:00+00,1652,B,F,37,D,C,,,,X,,,,,X,,,,N,,Y,N,107
C2-113735,2022/12/26 00:00:00+00,1652,B,F,37,C,C,,,,X,,,,,X,,,,N,,Y,N,108
C2-112443,2022/12/20 00:00:00+00,1822,B,M,54,D,C,,,,X,,,,,X,,,,N,,Y,Y,109
C2-111793,2022/12/18 00:00:00+00,1025,,,0,E,G,,,,,,,,,,,X,,N,,,,110
C2-111754,2022/12/18 00:00:00+00,245,I,M,29,E,C,,,,X,,,,,X,,,,N,N,Y,Y,111
C2-111754,2022/12/18 00:00:00+00,245,I,M,29,E,G,,,,X,,,,,X,,X,,N,N,Y,Y,112
C2-111575,2022/12/17 00:00:00+00,1152,W,F,37,E,G,,,,X,,,,,X,,X,,N,,Y,Y,113
C2-110926,2022/12/14 00:00:00+00,2300,W,M,33,D,C,,,,X,,,,,X,,,,N,,Y,N,114
C2-109958,2022/12/11 00:00:00+00,144,,,0,E,D,,,,,,,X,,,,,,N,N,,,115
C2-109281,2022/12/08 00:00:00+00,1652,W,M,72,D,D,,,,X,,,,,X,,,,N,,N,Y,116
C2-109037,2022/12/07 00:00:00+00,1649,B,M,31,E,C,,,,X,,,,,X,,,,N,,Y,N,117
C2-109037,2022/12/07 00:00:00+00,1649,B,M,31,E,C,,,,X,,,,,X,,,,N,,Y,N,118
C2-109037,2022/12/07 00:00:00+00,1649,B,M,31,E,C,,,,,,,,,X,,,,N,,Y,N,119
C2-109037,2022/12/07 00:00:00+00,1649,B,M,31,E,C,,,,X,,,,,X,,,,N,,Y,N,120
C2-105489,2022/11/24 00:00:00+00,2117,,,0,,Z,,,,,,,,X,,,,,N,,,,121
C2-103842,2022/11/19 00:00:00+00,256,B,M,27,E,D,,,,X,,,,,X,,,,N,,Y,N,122
C2-103487,2022/11/18 00:00:00+00,34,,,0,,Z,,,,,,,,X,,,,,N,,,,123
C2-101668,2022/11/12 00:00:00+00,210,W,M,21,D,D,,,,X,,,,,X,,,,N,,N,N,124
C2-098323,2022/11/01 00:00:00+00,1829,W,M,35,E,C,,,,X,,,,,X,,,,Y,Y,N,N,125
C2-098194,2022/11/01 00:00:00+00,1251,B,M,9,D,C,,,,X,,,,,X,,,,N,,Y,N,126
C2-098004,2022/10/31 00:00:00+00,2251,,,0,,Z,,,,,,,,X,,,,,N,,,,127
C2-097484,2022/10/30 00:00:00+00,918,,,0,,Z,,,,,,,,X,,,,,N,,,,128
C2-095488,2022/10/24 00:00:00+00,1206,W,M,22,E,G,,,,X,,,,,X,,X,,N,,N,Y,129
C2-095325,2022/10/23 00:00:00+00,2358,W,M,27,D,G,,,,,,,,,X,,X,,N,,N,Y,130
C2-094174,2022/10/20 00:00:00+00,1341,W,F,53,E,C,,,,X,,,,,X,,,,Y,Y,N,N,131
C2-093111,2022/10/16 00:00:00+00,2000,W,M,41,D,C,,,,X,,,,,X,,,,Y,Y,Y,Y,132
C2-093068,2022/10/16 00:00:00+00,1637,W,M,26,D,G,,,,,,,,,X,,X,,N,,N,Y,133
C2-092888,2022/10/15 00:00:00+00,2223,W,M,46,E,D,,,,X,,,,,X,,,,Y,N,Y,Y,134
C2-092651,2022/10/15 00:00:00+00,350,W,M,19,D,D,,,,X,,,,,X,,,,N,,Y,Y,135
C2-092624,2022/10/14 00:00:00+00,2353,,,0,,Z,,,,,,,,X,,,,,N,,,,136
C2-092238,2022/10/13 00:00:00+00,1903,B,M,44,F,G,,,,,,,,,X,,X,,N,,N,Y,137
C2-091530,2022/10/11 00:00:00+00,1616,B,M,33,E,G,,,,X,,,,,X,,X,,Y,N,Y,Y,138
C2-091032,2022/10/10 00:00:00+00,228,B,M,26,D,D,,,,X,,,,,X,,,,Y,Y,Y,Y,139
C2-090701,2022/10/08 00:00:00+00,2326,I,M,28,D,D,,,,X,,,,,X,,,,N,,Y,N,140
C2-090701,2022/10/08 00:00:00+00,2326,I,M,28,D,C,,,,X,,,,,X,,,,N,,Y,N,141
C2-089640,2022/10/05 00:00:00+00,2336,H,M,29,D,D,,,,X,,,,,X,,,,Y,N,N,N,142
C2-088611,2022/10/03 00:00:00+00,251,W,M,33,F,G,,,,,,,,,X,,X,,N,,Y,Y,143
C2-087620,2022/09/30 00:00:00+00,753,W,F,63,D,C,,,,X,,,,,X,,,,N,,Y,N,144
C2-087620,2022/09/30 00:00:00+00,753,W,F,63,D,C,,,,X,,,,,X,,,,N,,Y,N,145
C2-087113,2022/09/28 00:00:00+00,1921,W,M,20,D,G,,,,X,,,,,X,,X,,N,,Y,Y,146
C2-087113,2022/09/28 00:00:00+00,1921,W,M,20,E,G,,,,X,,,,,X,,X,,N,,Y,Y,147
C2-086502,2022/09/26 00:00:00+00,2030,W,M,45,D,D,,,,X,,,,,X,,,,N,,Y,N,148
C2-086236,2022/09/26 00:00:00+00,746,W,F,38,D,G,,,,,,,,,X,,X,,N,,Y,Y,149
C2-085898,2022/09/25 00:00:00+00,115,W,M,28,E,D,,,,,,,X,,,,,,N,,Y,N,150
C2-081363,2022/09/11 00:00:00+00,1636,W,M,35,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,151
C2-081363,2022/09/11 00:00:00+00,1636,W,M,35,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,152
C2-081318,2022/09/11 00:00:00+00,1300,W,M,46,D,C,,,,X,,,,,X,,,,Y,N,N,Y,153
C2-081049,2022/09/10 00:00:00+00,1859,W,M,62,D,C,,,,X,,,,,X,,,,N,,Y,Y,154
C2-080283,2022/09/08 00:00:00+00,1715,B,M,28,E,D,,,,X,,,,,X,,,,,,Y,Y,155
C2-079037,2022/09/04 00:00:00+00,2001,W,M,35,F,G,,,,X,,,,,X,,,,Y,N,Y,Y,156
C2-022316,2022/03/19 00:00:00+00,1530,W,M,36,E,G,,,,,,,,,X,,X,,N,,Y,Y,157
C2-022172,2022/03/19 00:00:00+00,141,B,M,19,E,G,,,X,X,,,,,X,,X,,N,,Y,Y,158
C2-022172,2022/03/19 00:00:00+00,141,B,M,19,D,C,,,,X,,,,,X,,,,N,,Y,Y,159
C2-021887,2022/03/18 00:00:00+00,324,I,M,26,E,G,,,,X,,,,,X,,X,,Y,N,Y,Y,160
C2-021887,2022/03/18 00:00:00+00,324,I,M,26,E,C,,,,X,,,,,,,,,Y,N,Y,Y,161
C2-021887,2022/03/18 00:00:00+00,324,I,M,26,E,C,,,,X,,,,,,,,,Y,N,Y,Y,162
C2-021685,2022/03/17 00:00:00+00,1300,W,M,36,E,D,,,,X,,,,,X,,,,Y,N,N,N,163
C2-021662,2022/03/17 00:00:00+00,1135,W,M,27,D,D,,,,X,,,,,X,,,,N,,Y,Y,164
C2-020566,2022/03/14 00:00:00+00,256,W,F,28,B,G,,,,,,,,,X,,,,N,,N,Y,165
C2-018307,2022/03/06 00:00:00+00,108,,,0,E,D,,,,,,,X,,,,,,N,,N,N,166
C2-018060,2022/03/05 00:00:00+00,430,W,M,21,D,C,,,,X,,,,,X,,,,Y,N,N,N,167
C2-017279,2022/03/02 00:00:00+00,2134,B,M,26,E,D,,,,X,,,,,X,,,,Y,N,N,Y,168
C2-016922,2022/03/01 00:00:00+00,1842,B,M,25,D,D,,,,X,,,,,X,,,,Y,N,N,Y,169
C2-016922,2022/03/01 00:00:00+00,2149,B,M,25,C,D,,,,X,,,,,X,,,,Y,Y,N,N,170
C2-016894,2022/03/01 00:00:00+00,1935,B,F,25,D,C,,,,X,,,,,X,,,,N,,Y,N,171
C2-015771,2022/02/25 00:00:00+00,2344,W,M,36,E,D,,,,X,,,,,X,,,,N,,N,Y,172
C2-014233,2022/02/20 00:00:00+00,705,W,M,28,D,C,,,,X,,,,,X,,,,N,,Y,Y,173
C2-013861,2022/02/19 00:00:00+00,54,W,F,21,E,C,,,,X,,,,,X,,,,N,,N,,174
C2-013861,2022/02/19 00:00:00+00,54,W,F,21,E,C,,,,X,,,,,X,,,,Y,N,Y,Y,175
C2-013530,2022/02/17 00:00:00+00,2003,W,M,62,E,D,,,,X,,,,,X,,,,N,,Y,Y,176
C2-010883,2022/02/09 00:00:00+00,1540,H,M,28,D,C,,,,X,,,,,X,,,,N,,Y,Y,177
C2-010883,2022/02/09 00:00:00+00,1540,H,M,28,D,C,,,,X,,,,,X,,,,N,,Y,Y,178
C2-010883,2022/02/09 00:00:00+00,1540,H,M,28,D,C,,,,X,,,,,X,,,,N,,Y,Y,179
C2-010204,2022/02/06 00:00:00+00,2203,W,M,40,D,D,,,,X,,,,,X,,,,N,,Y,N,180
C2-010204,2022/02/06 00:00:00+00,2203,W,M,40,D,C,,,,X,,,,,X,,,,N,,Y,N,181
C2-010167,2022/02/06 00:00:00+00,1912,W,F,46,E,D,,,,X,,,,,X,,,,N,,N,N,182
C2-010167,2022/02/06 00:00:00+00,1912,W,F,46,E,D,,,,X,,,,,X,,,,N,,N,N,183
C2-009950,2022/02/05 00:00:00+00,2315,I,M,25,C,G,,,,X,,,,,X,,,,Y,N,Y,Y,184
C2-009532,2022/02/04 00:00:00+00,1643,W,M,40,E,C,,,,X,,,,,X,,,,Y,Y,N,N,185
C2-008133,2022/01/31 00:00:00+00,338,W,MA,0,D,D,,,,X,,,,,X,,,,N,,Y,Y,186
C2-007888,2022/01/30 00:00:00+00,132,W,M,36,E,G,,,,,,,,,X,,X,,N,,Y,Y,187
C2-007888,2022/01/30 00:00:00+00,132,W,M,36,E,G,,,,,,,,,X,,X,,N,,Y,Y,188
C2-007888,2022/01/30 00:00:00+00,132,W,M,36,E,G,,,,,,,,,X,,X,,N,,Y,Y,189
C2-007888,2022/01/30 00:00:00+00,132,W,M,36,E,G,,,,,,,,,,,X,,N,,Y,Y,190
C2-007686,2022/01/29 00:00:00+00,1300,W,M,42,D,D,,,,X,,,,,X,,,,N,,Y,N,191
C2-006335,2022/01/24 00:00:00+00,1940,H,M,21,D,D,,,,X,,,,,X,,,,N,,N,N,192
C2-006335,2022/01/24 00:00:00+00,1940,H,M,21,D,D,,,,X,,,,,X,,,,,,N,N,193
C2-006114,2022/01/24 00:00:00+00,623,B,M,33,D,D,,,,X,,,,,X,,,,N,,Y,Y,194
C2-004757,2022/01/18 00:00:00+00,2304,W,M,35,D,C,,,,X,,,,,X,,,,N,,Y,N,195
C2-004185,2022/01/16 00:00:00+00,2011,B,M,29,E,G,,,,X,,,,,X,,X,,Y,N,Y,Y,196
C2-004185,2022/01/16 00:00:00+00,2011,B,M,29,E,G,,,,X,,,,,X,,X,,Y,N,Y,Y,197
C2-003749,2022/01/14 00:00:00+00,2200,W,M,47,D,D,,,X,X,,,,,X,,,,Y,N,N,N,198
C2-003749,2022/01/14 00:00:00+00,2200,W,M,47,D,D,,,X,X,,,,,X,,,,Y,N,N,N,199
C2-002683,2022/01/11 00:00:00+00,939,W,M,27,D,C,,,,X,,,,,X,,,,N,,Y,Y,200
C2-001895,2022/01/08 00:00:00+00,245,,,0,,Z,,,,,,,,X,,,,,,,,,201
C2-001422,2022/01/06 00:00:00+00,1100,W,M,19,E,C,,,,X,,,,,,,,,N,,Y,N,202
C2-000491,2022/01/02 00:00:00+00,2327,W,M,34,D,D,,,X,X,,,,,X,,,,N,,Y,N,203
C2-000382,2022/01/02 00:00:00+00,1229,W,M,43,D,C,,,,,,,,,X,,,,N,,Y,N,204
 ,,,,,,,,,,,,,,,,,,,,,,,,205
